juror,date,winner,loser,magnitude,reasoning
L3Juror5,2026-06-22T14:12:28.575Z,ethereum/go-ethereum,eth-infinitism/account-abstraction,5,
L3Juror5,2026-06-22T14:12:57.453Z,LFDT-web3j/web3j,vyperlang/titanoboa,5,
L3Juror5,2026-06-22T14:15:00.441Z,Nethereum/Nethereum,eth-infinitism/account-abstraction,1.5,
L3Juror5,2026-06-22T14:15:27.810Z,argotorg/solidity,axiom-crypto/snark-verifier,20,
L3Juror5,2026-06-22T14:16:38.810Z,Nethereum/Nethereum,vyperlang/titanoboa,5,
L3Juror5,2026-06-22T14:18:27.069Z,ethereum/go-ethereum,OpenZeppelin/openzeppelin-contracts,5,
L3Juror5,2026-06-22T14:31:08.457Z,OpenZeppelin/openzeppelin-contracts,Nethereum/Nethereum,1.5,"Completely different tools both great value, multiplier based on OZ being a bigger audience than Nethereum as it is aim for the .Net ecosystem whilst this OZ is for the solidity ecosystem. Now I give the 1.5 as the ai description does not cover all the Nethereum as a whole, but on the basis that solidity smart contracts rely on the security of OZ implementation. The Nethereum repo has a much broader stack: smart contract interaction, signing, EVM simulation, in-process node, blockchain indexing, ERC-4337 bundler, Blazor explorer, MUD support, wallet UIs, code generation, Unity integration, and Aspire orchestration. It also targets .NET Standard, .NET Framework, .NET 10, Unity, Windows, Linux, macOS, Android, iOS, WebAssembly, and game consoles."
L3Juror5,2026-06-22T14:37:34.359Z,argotorg/solidity,OpenZeppelin/openzeppelin-contracts,4,"Solidity has a bigger impact to the ecosystem as it is main language, OZ provides the library framework supporting the great standards."
L3Juror5,2026-06-22T14:41:01.210Z,ethereum/go-ethereum,Nethereum/Nethereum,5,
L3Juror5,2026-06-22T14:47:54.484Z,ethereum/go-ethereum,argotorg/solidity,1,"Pretty hard as those are a foundational part of Ethereum, both are as important"
L1Juror63,2026-06-23T14:19:13.402Z,ethers-io/ethers.js,ethereum/py_ecc,4,
L1Juror63,2026-06-23T14:19:25.240Z,ethereum/EIPs,TrueBlocks/trueblocks-core,100,
L1Juror63,2026-06-23T14:19:38.760Z,ethers-io/ethers.js,TrueBlocks/trueblocks-core,5,
L1Juror63,2026-06-23T14:19:48.193Z,ethereum/go-ethereum,erigontech/erigon,10,
L1Juror63,2026-06-23T14:19:59.687Z,argotorg/solidity,erigontech/erigon,10,
L1Juror63,2026-06-23T14:20:07.715Z,ethereum/py_ecc,TrueBlocks/trueblocks-core,1.1,
L1Juror63,2026-06-23T14:20:15.951Z,LFDT-web3j/web3j,ethereum/py_ecc,1.1,
L1Juror63,2026-06-23T14:20:26.959Z,ethereum/EIPs,vyperlang/vyper,3,
L1Juror63,2026-06-23T14:20:39.761Z,ethereum/consensus-specs,erigontech/erigon,10,
L1Juror63,2026-06-23T14:20:49.692Z,erigontech/erigon,TrueBlocks/trueblocks-core,4,
L1Juror64,2026-06-23T14:22:02.790Z,foundry-rs/foundry,wighawag/hardhat-deploy,4,
L1Juror64,2026-06-23T14:22:47.903Z,wealdtech/ethdo,axiom-crypto/snark-verifier,1.1,
L1Juror64,2026-06-23T14:23:19.464Z,foundry-rs/foundry,TrueBlocks/trueblocks-core,20,
L1Juror64,2026-06-23T14:24:05.558Z,shazow/whatsabi,erigontech/erigon,1.3,
L1Juror64,2026-06-23T14:25:02.080Z,axiom-crypto/snark-verifier,shazow/whatsabi,1.2,
L1Juror64,2026-06-23T14:25:44.879Z,OpenZeppelin/openzeppelin-contracts,remix-project-org/remix-project,10,
L1Juror64,2026-06-23T14:26:00.926Z,OpenZeppelin/openzeppelin-contracts,axiom-crypto/snark-verifier,50,
L1Juror64,2026-06-23T14:26:23.557Z,OpenZeppelin/openzeppelin-contracts,foundry-rs/foundry,1.5,
L1Juror64,2026-06-23T14:26:56.586Z,wighawag/hardhat-deploy,erigontech/erigon,1.2,
L1Juror65,2026-06-10T11:25:30.188Z,OpenZeppelin/openzeppelin-contracts,powdr-labs/powdr,1.1,"One of the major value ethereum provides smart contracts, Openzeppelin-contracts provides a secured was to build those. today Openzepplin contracts is responisble for securing over 1 Trillion dollars in tx volume"
L1Juror65,2026-06-10T11:27:12.805Z,ethereum/go-ethereum,ethpandaops/ethereum-package,5,GETH (go ethereum) is one of the major execution client having over 50% of this validators of the network running it
L1Juror65,2026-06-10T11:27:29.775Z,OpenZeppelin/openzeppelin-contracts,foundry-rs/foundry,2,
L1Juror65,2026-06-10T11:27:46.555Z,foundry-rs/foundry,OffchainLabs/prysm,1.5,
L1Juror65,2026-06-10T11:28:00.430Z,OpenZeppelin/openzeppelin-contracts,OffchainLabs/prysm,2,
L1Juror65,2026-06-10T11:28:15.370Z,foundry-rs/foundry,OffchainLabs/stylus-sdk-rs,10,
L1Juror65,2026-06-10T11:28:24.738Z,Consensys/gnark-crypto,OffchainLabs/stylus-sdk-rs,5,
L1Juror65,2026-06-10T11:28:37.874Z,Consensys/gnark-crypto,powdr-labs/powdr,5,
L1Juror65,2026-06-10T11:28:50.094Z,OpenZeppelin/openzeppelin-contracts,OffchainLabs/stylus-sdk-rs,10,
L1Juror65,2026-06-10T11:29:02.159Z,ethpandaops/ethereum-package,OffchainLabs/stylus-sdk-rs,2,
